event, shooter, shooter_name, shooter_offensive_rating, dist, x, y, shot_angle, shooter_velocity, fg_percentage_zone, closest_defender, closest_defender_name, closest_defender_defensive_rating, closest_defender_dist, closest_defender_angle, closest_defender_velocity, num_close_defenders, shot_clock, score_margin, quarter, make
407, 2034, Mike Miller, 100.0, 63.5226248067167, 12.1643, -38.15607, 1.4633159201473092, 0.009542309603156919,40.0, 201574, Jason Thompson, 106.69356796116504, 4.372533374749701, 0.01200625141877994, 0.005725311192415592,3, 23, 13, 4, 0
409, 203115, Will Barton, 105.0, 59.069795838253924, 47.17473, -17.05999, 0.7923977280211786, 0.006948004592147288,42.10526315789473, 203546, Ian Clark, 106.0, 11.25280848520937, 0.6689523867151356, 0.004972675870444371,0, 24, -10, 4, 1
411, 2733, Shaun Livingston, 119.0, 46.49693578929261, 74.55344, -19.3086, 1.2627769702385927, 0.002144806008127738,52.38095238095239, 200751, Randy Foye, 110.66666666666669, 6.392261768138096, 0.040508028464573576, 0.006852547500747238,2, 0, -10, 4, 0
413, 203115, Will Barton, 105.0, 41.22892917154773, 22.74559, -12.379379999999998, 1.1352268259073772, 0.002520071080346768,42.10526315789473, 203546, Ian Clark, 106.0, 8.085879065537643, 0.1605126850865142, 0.00915620789751396,1, 18, 10, 4, 0
415, 201574, Jason Thompson, 104.37388483373884, 48.11647094150817, 88.24305, -23.11475, 1.5623386231481757, 0.003391831594065367,62.22222222222222, 2034, Mike Miller, 109.0, 2.4868626816332275, 0.0025988826259417926, 0.0044633660084067075,4, 14, 12, 4, 1
417, 201589, Darrell Arthur, 104.0, 69.98944845468208, 39.50205, -36.091409999999996, 1.0610452540291648, 0.011894668829458789,55.55555555555556, 201578, Marreese Speights, 103.0, 8.883850593442013, 1.4759186729179121, 0.01040630543528774,1, 24, -10, 4, 1
418, 201574, Jason Thompson, 104.37388483373884, 46.727808874062355, 78.2621, -20.55853, 1.3466166989195925, 0.01137019765202191,40.0, 200751, Randy Foye, 110.66666666666669, 4.33301165703486, 1.5879197517601018, 0.014531048216985162,2, 22, -10, 4, 0
420, 201589, Darrell Arthur, 104.0, 34.05121078430692, 6.96838, -9.012729999999998, 1.5232505898176087, 0.005138167529014341,42.30769230769231, 201574, Jason Thompson, 106.69356796116504, 3.5702134113383197, 2.7030515282713683, 0.003921659071754555,2, 10, -8, 4, 1
426, 2733, Shaun Livingston, 119.0, 61.69746136278218, 89.07754, -36.69598, 1.57772600286827, 0.008490593178222585,41.935483870967744, 201589, Darrell Arthur, 108.0, 2.5664685404851544, 0.24356318885111855, 0.006314950379108068,2, 2, -8, 4, 0
429, 202691, Klay Thompson, 104.37388483373884, 37.313035375397966, 75.72704, -10.003709999999998, 1.2171305599556277, 0.008035774210516603,44.44444444444444, 200751, Randy Foye, 110.66666666666669, 4.723956964092703, 1.608265186688914, 0.0010550544333008615,1, 14, -8, 4, 0
432, 203110, Draymond Green, 115.0, 49.5811588797055, 85.70889, -24.49385, 1.5114423777351298, 0.007074036772043917,59.85915492957746, 201589, Darrell Arthur, 108.0, 2.6662764539709767, 1.959066088299824, 0.004197499099613459,4, 11, 10, 4, 1
434, 2749, Jameer Nelson, 99.0, 75.88122263598089, 36.44983, -44.21532, 1.148508004042041, 0.009259020242963358,26.0, 2733, Shaun Livingston, 106.0, 10.307811258264286, 1.0961393015521617, 0.00738341521425256,0, 23, -10, 4, 0
436, 202691, Klay Thompson, 104.37388483373884, 47.53244919000598, 88.22734, -22.53057, 1.5619041788574535, 0.0022115048678236775,65.10791366906474, 201589, Darrell Arthur, 108.0, 1.4477015014497987, 1.6534029941324258, 0.006748731845710907,3, 24, 12, 4, 1
440, 200751, Randy Foye, 96.0, 62.07770679508466, 6.56426, -37.06583, 1.5512347561988997, 0.010618235946945253,51.4018691588785, 2733, Shaun Livingston, 106.0, 4.0036699508825615, 0.081603240717785, 0.003375628876594698,1, 24, -10, 4, 1
441, 202691, Klay Thompson, 104.37388483373884, 75.02027815936168, 86.40702, -49.98674, 1.5408935543758473, 0.00324895768862871,54.54545454545454, 201589, Darrell Arthur, 108.0, 0.9997329155829602, 3.0117240575821254, 0.006501792642225672,2, 23, -10, 4, 0
444, 201589, Darrell Arthur, 104.0, 36.96444310437802, 11.05962, -11.52082, 1.4157129337206358, 0.010802584469905995,32.0, 2733, Shaun Livingston, 106.0, 7.140322731585738, 1.9282368168858062, 0.0009723627662104937,2, 24, -8, 4, 1
445, 202691, Klay Thompson, 104.37388483373884, 59.84822892474347, 60.69394, -27.91757, 1.084770189949321, 0.005995545997863783,36.98630136986301, 2749, Jameer Nelson, 112.0, 4.033478261376906, 1.075108403324906, 0.00028362056519225254,1, 8, -8, 4, 0
447, 203115, Will Barton, 105.0, 58.74378667163448, 55.737, -23.65765, 0.9760718837031317, 0.005676144625756175,50.0, 101106, Andrew Bogut, 99.0, 17.82849029795849, 2.0360186057420453, 0.012293081420559277,0, 24, -6, 4, 1
450, 202691, Klay Thompson, 104.37388483373884, 49.096012088722645, 90.23316, -24.07048, 1.6030481213374468, 0.005167378082741827,65.10791366906474, 201589, Darrell Arthur, 108.0, 1.9434236111820822, 2.7822233936277927, 0.005240206967525463,3, 24, 8, 4, 1
457, 202702, Kenneth Faried, 116.0, 52.6987861936544, 7.31389, -27.66218, 1.5335213723918206, 0.004883612387769708,61.53846153846154, 101106, Andrew Bogut, 99.0, 0.8323902457982076, 1.0709966460962472, 0.007212691882689079,3, 14, -6, 4, 1
458, 2738, Andre Iguodala, 115.0, 39.921970330269275, 75.54645, -12.71022, 1.23636819269808, 0.0008654169876423017,33.33333333333333, 201568, Danilo Gallinari, 111.0, 1.3373050087396052, 1.15245941546653, 0.0029092374430423795,1, 3, -6, 4, 0
