,quarter,universe_time,quarter_time,shot_clock,positions,game_time
14643,1,1451082999973,219.69,24.0,"[[-1, -1, 19.44098, 29.2413, 7.01142], [1610612744, 2738, 41.76495, 16.05384, 0.0], [1610612744, 101106, 8.3014, 20.02026, 0.0], [1610612744, 2733, 35.76928, 28.95012, 0.0], [1610612744, 201939, 28.18127, 43.725, 0.0], [1610612744, 203110, 61.19981, 25.18567, 0.0], [1610612739, 2544, 43.96082, 10.89195, 0.0], [1610612739, 2747, 18.21141, 28.39858, 0.0], [1610612739, 202697, 28.70256, 26.76712, 0.0], [1610612739, 203521, 19.08786, 39.88003, 0.0], [1610612739, 202684, 6.40825, 23.32972, 0.0]]",500.31
14967,1,1451083012934,206.89,11.13,"[[-1, -1, 89.06409, 28.32914, 13.03286], [1610612744, 2738, 83.54248, 18.34638, 0.0], [1610612744, 101106, 88.77781, 26.045, 0.0], [1610612744, 2733, 87.08377, 31.35233, 0.0], [1610612744, 201939, 77.06512, 24.48786, 0.0], [1610612744, 203110, 96.32601, 4.63233, 0.0], [1610612739, 2544, 81.12588, 27.7204, 0.0], [1610612739, 2747, 69.47036, 40.88185, 0.0], [1610612739, 202697, 88.85362, 1.89355, 0.0], [1610612739, 203521, 58.55139, 14.0701, 0.0], [1610612739, 202684, 88.7841, 28.23935, 0.0]]",513.11
14968,1,1451083012973,206.85,24.0,"[[-1, -1, 88.96529, 28.70196, 13.20033], [1610612744, 2738, 83.57039, 18.35209, 0.0], [1610612744, 101106, 88.94596, 26.08028, 0.0], [1610612744, 2733, 87.0775, 31.51679, 0.0], [1610612744, 201939, 77.08974, 24.54809, 0.0], [1610612744, 203110, 96.22936, 4.57975, 0.0], [1610612739, 2544, 81.2391, 27.64784, 0.0], [1610612739, 2747, 69.31202, 40.79462, 0.0], [1610612739, 202697, 88.75612, 1.94974, 0.0], [1610612739, 203521, 58.39388, 14.16238, 0.0], [1610612739, 202684, 88.85876, 28.29112, 0.0]]",513.15
15858,1,1451083253890,177.63,16.0,"[[-1, -1, 4.39767, 23.39827, 2.74596], [1610612744, 2738, 5.06238, 29.25449, 0.0], [1610612744, 2733, 31.06338, 27.61957, 0.0], [1610612744, 201939, 26.45076, 10.48429, 0.0], [1610612744, 203105, 8.69716, 22.13605, 0.0], [1610612744, 203110, 8.51348, 25.81828, 0.0], [1610612739, 2544, 8.3228, 21.87971, 0.0], [1610612739, 2747, 5.21699, 28.7696, 0.0], [1610612739, 202697, 25.31758, 29.83523, 0.0], [1610612739, 203521, 21.20856, 13.5926, 0.0], [1610612739, 202684, 6.85737, 25.14645, 0.0]]",542.37
15859,1,1451083253931,177.59,24.0,"[[-1, -1, 4.18159, 23.21993, 2.51279], [1610612744, 2738, 5.22143, 29.55215, 0.0], [1610612744, 2733, 31.53903, 27.66936, 0.0], [1610612744, 201939, 26.58762, 10.4738, 0.0], [1610612744, 203105, 8.76804, 22.29251, 0.0], [1610612744, 203110, 8.37276, 25.96354, 0.0], [1610612739, 2544, 8.22699, 21.82182, 0.0], [1610612739, 2747, 5.33107, 28.884, 0.0], [1610612739, 202697, 25.5331, 29.97859, 0.0], [1610612739, 203521, 21.09109, 13.58302, 0.0], [1610612739, 202684, 6.76416, 25.16192, 0.0]]",542.41
16681,1,1451083286810,144.91,17.26,"[[-1, -1, 89.17519, 27.76636, 12.15317], [1610612744, 2738, 70.26286, 16.60535, 0.0], [1610612744, 2733, 69.49537, 35.53902, 0.0], [1610612744, 201939, 82.66351, 27.50923, 0.0], [1610612744, 203105, 69.64582, 40.14746, 0.0], [1610612744, 203110, 87.2049, 22.39995, 0.0], [1610612739, 2544, 58.06877, 15.0852, 0.0], [1610612739, 2747, 55.91884, 36.17856, 0.0], [1610612739, 202697, 69.59944, 46.52863, 0.0], [1610612739, 203521, 55.74496, 20.53934, 0.0], [1610612739, 202684, 87.87864, 20.55234, 0.0]]",575.09
17386,1,1451083315009,116.89,24.0,"[[-1, -1, 90.67044, 25.38326, 5.48999], [1610612744, 2738, 87.00841, 22.26565, 0.0], [1610612744, 2733, 85.81445, 8.96973, 0.0], [1610612744, 201939, 75.16859, 31.95598, 0.0], [1610612744, 203105, 91.55609, 26.75959, 0.0], [1610612744, 203110, 90.89154, 22.75408, 0.0], [1610612739, 2544, 94.73062, 33.26219, 0.0], [1610612739, 2747, 81.3804, 3.77256, 0.0], [1610612739, 202697, 81.27305, 44.32574, 0.0], [1610612739, 203521, 66.77937, 33.38699, 0.0], [1610612739, 202684, 85.30083, 20.34735, 0.0]]",603.11
19015,1,1451083442447,59.94,10.29,"[[-1, -1, 88.11986, 25.6433, 10.85956], [1610612744, 2738, 83.62236, 33.3002, 0.0], [1610612744, 2733, 85.62343, 15.27146, 0.0], [1610612744, 201939, 65.60723, 7.81109, 0.0], [1610612744, 203105, 82.14602, 24.96936, 0.0], [1610612744, 203110, 85.01497, 27.17607, 0.0], [1610612739, 2592, 61.98999, 33.95562, 0.0], [1610612739, 2590, 83.55752, 4.53981, 0.0], [1610612739, 202697, 80.17228, 34.97227, 0.0], [1610612739, 203521, 66.10124, 13.21355, 0.0], [1610612739, 202684, 81.3441, 27.21509, 0.0]]",660.06
20684,2,1451083780604,720.0,24.0,"[[-1, -1, 90.69284, 12.01519, 4.19522], [1610612744, 2738, 26.76596, 3.53664, 0.0], [1610612744, 2571, 46.0983, -0.96478, 0.0], [1610612744, 2733, 72.48208, 19.20325, 0.0], [1610612744, 201578, 37.3786, -0.9599, 0.0], [1610612744, 203105, 96.89122, 14.75005, 0.0], [1610612739, 2590, 43.9006, 9.27367, 0.0], [1610612739, 201567, 61.97805, 4.72098, 0.0], [1610612739, 202697, 32.42493, 10.91662, 0.0], [1610612739, 203521, 65.1094, 16.7195, 0.0], [1610612739, 202684, 46.97295, 6.00984, 0.0]]",720.0
21721,2,1451083822083,683.53,1.23,"[[-1, -1, 84.83935, 5.63516, 8.34993], [1610612744, 2738, 87.65013, 31.76655, 0.0], [1610612744, 2571, 69.43862, 18.039, 0.0], [1610612744, 2733, 84.0623, 1.23593, 0.0], [1610612744, 201578, 79.89579, 29.93192, 0.0], [1610612744, 203105, 88.28885, 15.74396, 0.0], [1610612739, 2590, 85.38528, 3.75764, 0.0], [1610612739, 201567, 73.03938, 36.05249, 0.0], [1610612739, 202697, 82.6536, 37.54661, 0.0], [1610612739, 203521, 57.48174, 17.33548, 0.0], [1610612739, 202684, 87.37003, 14.44226, 0.0]]",756.47
