,shot_clock,pass_successful,backcourt,dist,passer_basket_dist,ball_end_basket_dist,basket_angle,closest_def_dist_passer,closest_def_dist_ball_end,closest_def_trajectory,closest_def_angle_passer,closest_def_angle_ball_end,closest_def_trajectory_angle
113,0.0,0,0,27.7029546704643,26.399249733160982,25.566041930654812,2.01746821887794,7.3504174805108855,35.40145058864255,1.9977142017563874,0.27524467822991266,2.5888187641777707,3.084211660746154
114,22.25,1,0,21.27110311728332,5.694583470105599,16.978608597187822,0.8211609230826552,11.204326558834309,10.150556519565821,0.9437212225909116,3.057264456644798,3.0484858271594346,3.0484858271594346
115,19.79,1,1,39.72196147480257,35.36924193608905,30.68291959153333,1.8578847678219752,6.9961442747058875,16.284923242217012,0.5189296137597719,1.7531925785184659,2.252768548696244,3.090685876244991
116,19.0,1,1,19.918373360706443,28.59926093717284,30.5825145267357,2.4582159386151567,7.002679221797903,6.265730994433135,1.1137654707318538,2.008841722980162,2.962887931022525,2.962887931022525
117,18.48,1,1,10.052128176858874,25.077401696356027,28.224348837902358,2.7807945762268065,5.320930395945812,4.8166616070157975,0.655962732367417,3.017998527792398,3.0049819566645466,3.0049819566645466
118,17.17,1,1,8.278119590686037,21.286208491889763,16.88524793566562,2.769625668133848,4.733399023545338,3.8756791324360207,1.1756872136215932,2.890583953255069,2.833386310672394,2.833386310672394
119,16.03,0,0,27.865817583814046,6.147200469677235,25.566041930654812,1.2966530312121045,6.160873363777249,41.28120770508174,3.63793136873484,0.683636901604709,3.0410973687637943,3.0329224338401413
120,22.36,1,0,22.31602421260785,4.454376762241819,20.42522056990573,1.2290969662049496,11.565166570685433,10.772629899926946,0.49269368989069506,3.0989782355872015,3.095841001302139,3.095841001302139
121,19.15,1,1,11.804379645559523,29.280845377802876,18.377267377673434,2.94631090956308,7.5456419270529915,4.69791383492716,0.3174533598222231,2.9310573639637463,2.7992841169271365,0.04873451129535919
122,13.15,1,1,7.854524592628126,3.600205611864411,4.594469216928116,0.5826963807403103,1.2911377987263826,7.991973861850402,0.09488926173834002,1.54559698159623,2.979379180421799,3.1240445015538616
123,12.11,1,1,5.240445206907519,3.960328204694657,1.7600588054096453,0.8986709240866388,1.5912365065256673,3.953000572350072,0.9533882976039362,0.6757287741984689,2.8644003748225986,0.4345273976379412
124,11.71,0,0,90.01507980207428,81.19985647015517,25.566041930654812,1.363217201543607,2.107911440264982,87.9448842945137,0.3677308501251544,2.954357714898692,3.137131063814578,3.1376049380630513
125,19.74,1,1,18.43163530163561,33.390059617416085,35.036756235926006,2.598205403923639,6.977467014153491,20.125323095187813,0.27740220062006565,1.5061416015958151,2.7883133180291337,3.1055425216982875
126,18.78,1,1,18.436078808276996,29.85648706383422,34.95530523012065,2.5860560458215214,7.819804389944806,7.773883076982829,0.28187736866620877,1.531719845452297,3.105325170660144,3.105325170660144
